"Time Study from ,""2020-12-01 12:17:35"""
"Statistic values,""Lap time"",""IM"",""TMU"",""DM"",""HM"",""CYCLE"""
"Averages,""00:08,497"",""0,24"",""0,14"",""13"",""236"",""17"""
"Min values,""00:00,639"",""0,02"",""0,01"",""1"",""18"",""1"""
"Min values,""01:23,197"",""2,31"",""1,39"",""138"",""2311"",""94"""
"Lap No,""Time"",""Total time"",""Seconds consecutive"",""Lap time"",""IMa"",""TMU"",""DMa"",""HM"",""CYCLE"",""LONG_LAP_UPDATED_TIME (can be deleted by user)"",""LONG_UPDATED_TIME (can be deleted by user)"""
"34,""11:51:06"",""03:33,332"",""213"",""00:08,088"",""0,224667"",""224,666672"",""0,134800"",""13"",""7,418397"",""8088"",""213332"""
"35,""11:51:09"",""03:36,625"",""216"",""00:03,293"",""0,091472"",""91,472221"",""0,054883"",""5"",""18,220467"",""3293"",""216625"""
"36,""11:51:12"",""03:39,489"",""219"",""00:02,864"",""0,079556"",""79,555557"",""0,047733"",""4"",""20,949720"",""2864"",""219489"""
"37,""11:51:39"",""04:05,810"",""245"",""00:26,321"",""0,731139"",""731,138916"",""0,438683"",""43"",""2,279549"",""26321"",""245810"""
"38,""11:51:40"",""04:07,536"",""247"",""00:01,726"",""0,047944"",""47,944443"",""0,028767"",""2"",""34,762459"",""1726"",""247536"""
"39,""11:51:42"",""04:09,700"",""249"",""00:02,164"",""0,060111"",""60,111111"",""0,036067"",""3"",""27,726433"",""2164"",""249700"""
"40,""11:51:47"",""04:14,355"",""254"",""00:04,655"",""0,129306"",""129,305557"",""0,077583"",""7"",""12,889366"",""4655"",""254355"""
"41,""11:51:49"",""04:16,066"",""256"",""00:01,711"",""0,047528"",""47,527779"",""0,028517"",""2"",""35,067211"",""1711"",""256066"""
"42,""11:52:01"",""04:28,298"",""268"",""00:12,232"",""0,339778"",""339,777771"",""0,203867"",""20"",""4,905167"",""12232"",""268298"""
"43,""11:52:03"",""04:30,304"",""270"",""00:02,006"",""0,055722"",""55,722221"",""0,033433"",""3"",""29,910269"",""2006"",""270304"""
"44,""11:52:07"",""04:34,454"",""274"",""00:04,150"",""0,115278"",""115,277779"",""0,069167"",""6"",""14,457831"",""4150"",""274454"""
"45,""11:52:45"",""05:12,704"",""312"",""00:38,250"",""1,062500"",""1062,500000"",""0,637500"",""63"",""1,568627"",""38250"",""312704"""
"46,""11:52:50"",""05:17,114"",""317"",""00:04,410"",""0,122500"",""122,500000"",""0,073500"",""7"",""13,605442"",""4410"",""317114"""
"47,""11:52:58"",""05:25,302"",""325"",""00:08,188"",""0,227444"",""227,444443"",""0,136467"",""13"",""7,327797"",""8188"",""325302"""
"48,""11:53:14"",""05:41,708"",""341"",""00:16,406"",""0,455722"",""455,722229"",""0,273433"",""27"",""3,657199"",""16406"",""341708"""
"49,""11:53:16"",""05:43,097"",""343"",""00:01,389"",""0,038583"",""38,583332"",""0,023150"",""2"",""43,196545"",""1389"",""343097"""
"50,""11:53:22"",""05:49,025"",""349"",""00:05,928"",""0,164667"",""164,666672"",""0,098800"",""9"",""10,121458"",""5928"",""349025"""
"51,""11:53:25"",""05:52,592"",""352"",""00:03,567"",""0,099083"",""99,083336"",""0,059450"",""5"",""16,820858"",""3567"",""352592"""
"52,""11:53:29"",""05:56,321"",""356"",""00:03,729"",""0,103583"",""103,583336"",""0,062150"",""6"",""16,090105"",""3729"",""356321"""
"53,""11:53:32"",""05:59,676"",""359"",""00:03,355"",""0,093194"",""93,194443"",""0,055917"",""5"",""17,883755"",""3355"",""359676"""
"54,""11:53:34"",""06:01,581"",""361"",""00:01,905"",""0,052917"",""52,916668"",""0,031750"",""3"",""31,496061"",""1905"",""361581"""
"55,""11:53:56"",""06:22,983"",""382"",""00:21,402"",""0,594500"",""594,500000"",""0,356700"",""35"",""2,803476"",""21402"",""382983"""
"56,""11:53:58"",""06:25,438"",""385"",""00:02,455"",""0,068194"",""68,194443"",""0,040917"",""4"",""24,439919"",""2455"",""385438"""
"57,""11:54:01"",""06:28,583"",""388"",""00:03,145"",""0,087361"",""87,361115"",""0,052417"",""5"",""19,077902"",""3145"",""388583"""
"58,""11:54:04"",""06:31,323"",""391"",""00:02,740"",""0,076111"",""76,111115"",""0,045667"",""4"",""21,897810"",""2740"",""391323"""
"59,""11:54:13"",""06:40,536"",""400"",""00:09,213"",""0,255917"",""255,916672"",""0,153550"",""15"",""6,512537"",""9213"",""400536"""
"60,""11:54:20"",""06:47,261"",""407"",""00:06,725"",""0,186806"",""186,805557"",""0,112083"",""11"",""8,921933"",""6725"",""407261"""
"61,""11:54:25"",""06:52,218"",""412"",""00:04,957"",""0,137694"",""137,694443"",""0,082617"",""8"",""12,104095"",""4957"",""412218"""
