"Time Study from ","2020-11-20 12:38:16"
"Statistic values","Lap time","IM","TMU","DM","HM","CYCLE"
"Averages","00:04,353","0,12","0,07","6","121","23"
"Min values","00:00,749","0,02","0,01","1","21","1"
"Min values","00:45,895","1,27","0,76","76","1275","80"
"Lap No","Time","Total time","Seconds consecutive","Lap time","IMa","TMU","DMa","HM","CYCLE","LONG_LAP_UPDATED_TIME (can be deleted by user)","LONG_UPDATED_TIME (can be deleted by user)"
"263","12:26:32","18:36,039","1116","00:02,000","0,055556","55,555557","0,033333","3","29,999998","2000","1116039"
"264","12:26:34","18:38,837","1118","00:02,798","0,077722","77,722221","0,046633","4","21,443888","2798","1118837"
"265","12:26:37","18:41,468","1121","00:02,631","0,073083","73,083336","0,043850","4","22,805017","2631","1121468"
"266","12:26:42","18:46,932","1126","00:05,464","0,151778","151,777771","0,091067","9","10,980966","5464","1126932"
"267","12:26:46","18:50,480","1130","00:03,548","0,098556","98,555557","0,059133","5","16,910934","3548","1130480"
"268","12:26:48","18:52,381","1132","00:01,901","0,052806","52,805557","0,031683","3","31,562336","1901","1132381"
"269","12:26:50","18:55,030","1135","00:02,649","0,073583","73,583336","0,044150","4","22,650057","2649","1135030"
"270","12:26:54","18:58,112","1138","00:03,082","0,085611","85,611115","0,051367","5","19,467878","3082","1138112"
"271","12:26:59","19:03,326","1143","00:05,214","0,144833","144,833328","0,086900","8","11,507480","5214","1143326"
"272","12:27:13","19:17,087","1157","00:13,761","0,382250","382,250000","0,229350","22","4,360148","13761","1157087"
"273","12:27:15","19:19,819","1159","00:02,732","0,075889","75,888885","0,045533","4","21,961931","2732","1159819"
"274","12:27:16","19:20,568","1160","00:00,749","0,020806","20,805555","0,012483","1","80,106812","749","1160568"
"275","12:27:18","19:22,118","1162","00:01,550","0,043056","43,055557","0,025833","2","38,709679","1550","1162118"
"276","12:27:19","19:23,965","1163","00:01,847","0,051306","51,305557","0,030783","3","32,485111","1847","1163965"
"277","12:27:21","19:25,349","1165","00:01,384","0,038444","38,444443","0,023067","2","43,352604","1384","1165349"
"278","12:27:23","19:27,681","1167","00:02,332","0,064778","64,777779","0,038867","3","25,728989","2332","1167681"
"279","12:27:31","19:35,410","1175","00:07,729","0,214694","214,694443","0,128817","12","7,762971","7729","1175410"
"280","12:27:43","19:47,305","1187","00:11,895","0,330417","330,416656","0,198250","19","5,044136","11895","1187305"
"281","12:27:48","19:52,036","1192","00:04,731","0,131417","131,416672","0,078850","7","12,682308","4731","1192036"
"282","12:27:53","19:57,367","1197","00:05,331","0,148083","148,083328","0,088850","8","11,254924","5331","1197367"
"283","12:28:02","20:06,979","1206","00:09,612","0,267000","267,000000","0,160200","16","6,242197","9612","1206979"
"284","12:28:05","20:09,229","1209","00:02,250","0,062500","62,500000","0,037500","3","26,666666","2250","1209229"
"285","12:28:06","20:10,428","1210","00:01,199","0,033306","33,305557","0,019983","1","50,041702","1199","1210428"
