"Time Study from ","2020-11-20 12:38:16"
"Statistic values","Lap time","IM","TMU","DM","HM","CYCLE"
"Averages","00:04,353","0,12","0,07","6","121","23"
"Min values","00:00,749","0,02","0,01","1","21","1"
"Min values","00:45,895","1,27","0,76","76","1275","80"
"Lap No","Time","Total time","Seconds consecutive","Lap time","IMa","TMU","DMa","HM","CYCLE","LONG_LAP_UPDATED_TIME (can be deleted by user)","LONG_UPDATED_TIME (can be deleted by user)"
"307","12:29:51","21:55,814","1315","00:01,850","0,051389","51,388889","0,030833","3","32,432430","1850","1315814"
"308","12:29:53","21:57,213","1317","00:01,399","0,038861","38,861111","0,023317","2","42,887775","1399","1317213"
"309","12:29:54","21:58,929","1318","00:01,716","0,047667","47,666668","0,028600","2","34,965034","1716","1318929"
"310","12:29:57","22:01,428","1321","00:02,499","0,069417","69,416664","0,041650","4","24,009604","2499","1321428"
"311","12:30:11","22:15,971","1335","00:14,543","0,403972","403,972229","0,242383","24","4,125696","14543","1335971"
"312","12:30:15","22:19,303","1339","00:03,332","0,092556","92,555557","0,055533","5","18,007202","3332","1339303"
"313","12:30:24","22:28,098","1348","00:08,795","0,244306","244,305557","0,146583","14","6,822058","8795","1348098"
"314","12:30:34","22:38,360","1358","00:10,262","0,285056","285,055542","0,171033","17","5,846813","10262","1358360"
"315","12:30:50","22:54,453","1374","00:16,093","0,447028","447,027771","0,268217","26","3,728329","16093","1374453"
"316","12:30:58","23:02,166","1382","00:07,713","0,214250","214,250000","0,128550","12","7,779075","7713","1382166"
"317","12:30:59","23:03,799","1383","00:01,633","0,045361","45,361111","0,027217","2","36,742191","1633","1383799"
"318","12:31:02","23:06,614","1386","00:02,815","0,078194","78,194443","0,046917","4","21,314386","2815","1386614"
"319","12:31:07","23:11,929","1391","00:05,315","0,147639","147,638885","0,088583","8","11,288805","5315","1391929"
"320","12:31:11","23:15,494","1395","00:03,565","0,099028","99,027779","0,059417","5","16,830294","3565","1395494"
"321","12:31:12","23:16,562","1396","00:01,068","0,029667","29,666666","0,017800","1","56,179775","1068","1396562"
"322","12:31:44","23:48,195","1428","00:31,633","0,878694","878,694458","0,527217","52","1,896753","31633","1428195"
"323","12:31:45","23:49,829","1429","00:01,634","0,045389","45,388889","0,027233","2","36,719707","1634","1429829"
"324","12:31:47","23:51,060","1431","00:01,231","0,034194","34,194443","0,020517","2","48,740864","1231","1431060"
"325","12:31:48","23:52,694","1432","00:01,634","0,045389","45,388889","0,027233","2","36,719707","1634","1432694"
"326","12:31:50","23:54,660","1434","00:01,966","0,054611","54,611111","0,032767","3","30,518820","1966","1434660"
"327","12:31:53","23:57,525","1437","00:02,865","0,079583","79,583336","0,047750","4","20,942408","2865","1437525"
"328","12:31:55","23:59,990","1439","00:02,465","0,068472","68,472221","0,041083","4","24,340771","2465","1439990"
"329","12:31:57","24:02,008","1442","00:02,018","0,056056","56,055557","0,033633","3","29,732409","2018","1442008"
"330","12:31:59","24:03,338","1443","00:01,330","0,036944","36,944443","0,022167","2","45,112782","1330","1443338"
"331","12:32:08","24:12,601","1452","00:09,263","0,257306","257,305542","0,154383","15","6,477383","9263","1452601"
"332","12:32:28","24:32,576","1472","00:19,975","0,554861","554,861084","0,332917","33","3,003755","19975","1472576"
"333","12:32:32","24:36,807","1476","00:04,231","0,117528","117,527779","0,070517","7","14,181045","4231","1476807"
"334","12:32:35","24:39,639","1479","00:02,832","0,078667","78,666664","0,047200","4","21,186440","2832","1479639"
"335","12:32:40","24:44,220","1484","00:04,581","0,127250","127,250000","0,076350","7","13,097578","4581","1484220"
"336","12:32:42","24:46,203","1486","00:01,983","0,055083","55,083332","0,033050","3","30,257185","1983","1486203"
"337","12:32:43","24:47,753","1487","00:01,550","0,043056","43,055557","0,025833","2","38,709679","1550","1487753"
"338","12:32:45","24:49,769","1489","00:02,016","0,056000","56,000000","0,033600","3","29,761906","2016","1489769"
"339","12:32:46","24:50,786","1490","00:01,017","0,028250","28,250000","0,016950","1","58,997051","1017","1490786"
"340","12:32:49","24:53,800","1493","00:03,014","0,083722","83,722221","0,050233","5","19,907101","3014","1493800"
"341","12:32:52","24:56,967","1496","00:03,167","0,087972","87,972221","0,052783","5","18,945374","3167","1496967"
"342","12:32:54","24:58,148","1498","00:01,181","0,032806","32,805557","0,019683","1","50,804405","1181","1498148"
"343","12:32:58","25:02,046","1502","00:03,898","0,108278","108,277779","0,064967","6","15,392509","3898","1502046"
"344","12:33:00","25:04,994","1504","00:02,948","0,081889","81,888885","0,049133","4","20,352781","2948","1504994"
"345","12:33:04","25:08,759","1508","00:03,765","0,104583","104,583336","0,062750","6","15,936254","3765","1508759"
"346","12:33:07","25:11,258","1511","00:02,499","0,069417","69,416664","0,041650","4","24,009604","2499","1511258"
"347","12:33:08","25:12,490","1512","00:01,232","0,034222","34,222221","0,020533","2","48,701302","1232","1512490"
"348","12:33:09","25:13,374","1513","00:00,884","0,024556","24,555555","0,014733","1","67,873306","884","1513374"
"349","12:33:10","25:14,542","1514","00:01,168","0,032444","32,444443","0,019467","1","51,369862","1168","1514542"
"350","12:33:13","25:17,056","1517","00:02,514","0,069833","69,833336","0,041900","4","23,866350","2514","1517056"
"351","12:33:15","25:19,504","1519","00:02,448","0,068000","68,000000","0,040800","4","24,509806","2448","1519504"
"352","12:33:18","25:22,037","1522","00:02,533","0,070361","70,361115","0,042217","4","23,687328","2533","1522037"
"353","12:33:21","25:25,935","1525","00:03,898","0,108278","108,277779","0,064967","6","15,392509","3898","1525935"
"354","12:33:23","25:27,919","1527","00:01,984","0,055111","55,111111","0,033067","3","30,241934","1984","1527919"
"355","12:33:25","25:29,750","1529","00:01,831","0,050861","50,861111","0,030517","3","32,768982","1831","1529750"
"356","12:33:27","25:31,801","1531","00:02,051","0,056972","56,972221","0,034183","3","29,254021","2051","1531801"
"357","12:33:29","25:33,982","1533","00:02,181","0,060583","60,583332","0,036350","3","27,510315","2181","1533982"
"358","12:33:33","25:37,564","1537","00:03,582","0,099500","99,500000","0,059700","5","16,750418","3582","1537564"
"359","12:33:35","25:39,556","1539","00:01,992","0,055333","55,333332","0,033200","3","30,120481","1992","1539556"
"360","12:33:38","25:42,943","1542","00:03,387","0,094083","94,083336","0,056450","5","17,714790","3387","1542943"
"361","12:33:43","25:47,991","1547","00:05,048","0,140222","140,222229","0,084133","8","11,885895","5048","1547991"
"362","12:33:45","25:49,924","1549","00:01,933","0,053694","53,694443","0,032217","3","31,039837","1933","1549924"
"363","12:33:52","25:56,055","1556","00:06,131","0,170306","170,305557","0,102183","10","9,786331","6131","1556055"
"364","12:33:53","25:57,339","1557","00:01,284","0,035667","35,666668","0,021400","2","46,728970","1284","1557339"
"365","12:33:58","26:02,470","1562","00:05,131","0,142528","142,527771","0,085517","8","11,693626","5131","1562470"
"366","12:34:00","26:04,567","1564","00:02,097","0,058250","58,250000","0,034950","3","28,612305","2097","1564567"
"367","12:34:03","26:07,816","1567","00:03,249","0,090250","90,250000","0,054150","5","18,467220","3249","1567816"
"368","12:34:05","26:09,316","1569","00:01,500","0,041667","41,666668","0,025000","2","40,000000","1500","1569316"
"369","12:34:09","26:13,746","1573","00:04,430","0,123056","123,055557","0,073833","7","13,544019","4430","1573746"
"370","12:34:15","26:19,478","1579","00:05,732","0,159222","159,222229","0,095533","9","10,467550","5732","1579478"
"371","12:34:18","26:22,327","1582","00:02,849","0,079139","79,138885","0,047483","4","21,060022","2849","1582327"
"372","12:34:20","26:24,559","1584","00:02,232","0,062000","62,000000","0,037200","3","26,881720","2232","1584559"
"373","12:35:06","27:10,454","1630","00:45,895","1,274861","1274,861084","0,764917","76","1,307332","45895","1630454"
"374","12:35:09","27:13,386","1633","00:02,932","0,081444","81,444443","0,048867","4","20,463846","2932","1633386"
"375","12:35:13","27:17,318","1637","00:03,932","0,109222","109,222221","0,065533","6","15,259410","3932","1637318"
"376","12:35:19","27:23,881","1643","00:06,563","0,182306","182,305557","0,109383","10","9,142160","6563","1643881"
"377","12:35:23","27:27,130","1647","00:03,249","0,090250","90,250000","0,054150","5","18,467220","3249","1647130"
"378","12:35:25","27:29,229","1649","00:02,099","0,058306","58,305557","0,034983","3","28,585041","2099","1649229"
"379","12:35:28","27:32,680","1652","00:03,451","0,095861","95,861115","0,057517","5","17,386265","3451","1652680"
"380","12:35:29","27:33,611","1653","00:00,931","0,025861","25,861111","0,015517","1","64,446831","931","1653611"
"381","12:35:31","27:35,211","1655","00:01,600","0,044444","44,444443","0,026667","2","37,500000","1600","1655211"
"382","12:35:33","27:37,776","1657","00:02,565","0,071250","71,250000","0,042750","4","23,391813","2565","1657776"
"383","12:35:37","27:41,590","1661","00:03,814","0,105944","105,944443","0,063567","6","15,731517","3814","1661590"
"384","12:35:39","27:43,756","1663","00:02,166","0,060167","60,166668","0,036100","3","27,700834","2166","1663756"
"385","12:35:42","27:46,038","1666","00:02,282","0,063389","63,388889","0,038033","3","26,292727","2282","1666038"
"386","12:35:43","27:47,137","1667","00:01,099","0,030528","30,527779","0,018317","1","54,595089","1099","1667137"
"387","12:35:44","27:48,737","1668","00:01,600","0,044444","44,444443","0,026667","2","37,500000","1600","1668737"
"388","12:35:46","27:50,888","1670","00:02,151","0,059750","59,750000","0,035850","3","27,894003","2151","1670888"
"389","12:35:50","27:54,850","1674","00:03,962","0,110056","110,055557","0,066033","6","15,143867","3962","1674850"
"390","12:35:52","27:56,733","1676","00:01,883","0,052306","52,305557","0,031383","3","31,864048","1883","1676733"
"391","12:36:11","28:15,908","1695","00:19,175","0,532639","532,638916","0,319583","31","3,129074","19175","1695908"
"392","12:36:22","28:26,203","1706","00:10,295","0,285972","285,972229","0,171583","17","5,828072","10295","1706203"
"393","12:36:25","28:29,368","1709","00:03,165","0,087917","87,916664","0,052750","5","18,957346","3165","1709368"
"394","12:36:29","28:33,651","1713","00:04,283","0,118972","118,972221","0,071383","7","14,008872","4283","1713651"
"395","12:36:30","28:34,999","1714","00:01,348","0,037444","37,444443","0,022467","2","44,510384","1348","1714999"
"396","12:36:33","28:37,182","1717","00:02,183","0,060639","60,638889","0,036383","3","27,485111","2183","1717182"
"397","12:36:34","28:38,365","1718","00:01,183","0,032861","32,861111","0,019717","1","50,718510","1183","1718365"
"398","12:36:37","28:41,479","1721","00:03,114","0,086500","86,500000","0,051900","5","19,267822","3114","1721479"
"399","12:36:47","28:51,841","1731","00:10,362","0,287833","287,833344","0,172700","17","5,790388","10362","1731841"
"400","12:36:49","28:53,174","1733","00:01,333","0,037028","37,027779","0,022217","2","45,011253","1333","1733174"
"401","12:36:57","29:01,363","1741","00:08,189","0,227472","227,472229","0,136483","13","7,326901","8189","1741363"
"402","12:37:01","29:06,019","1746","00:04,656","0,129333","129,333328","0,077600","7","12,886598","4656","1746019"
"403","12:37:04","29:08,418","1748","00:02,399","0,066639","66,638885","0,039983","3","25,010422","2399","1748418"
"404","12:37:14","29:18,032","1758","00:09,614","0,267056","267,055542","0,160233","16","6,240899","9614","1758032"
"405","12:37:15","29:19,314","1759","00:01,282","0,035611","35,611111","0,021367","2","46,801876","1282","1759314"
"406","12:37:18","29:22,728","1762","00:03,414","0,094833","94,833336","0,056900","5","17,574692","3414","1762728"
"407","12:37:20","29:24,777","1764","00:02,049","0,056917","56,916668","0,034150","3","29,282576","2049","1764777"
"408","12:37:24","29:28,392","1768","00:03,615","0,100417","100,416664","0,060250","6","16,597511","3615","1768392"
"409","12:37:29","29:33,190","1773","00:04,798","0,133278","133,277771","0,079967","7","12,505211","4798","1773190"
"410","12:37:31","29:35,972","1775","00:02,782","0,077278","77,277779","0,046367","4","21,567217","2782","1775972"
"411","12:37:36","29:40,286","1780","00:04,314","0,119833","119,833336","0,071900","7","13,908205","4314","1780286"
"412","12:37:37","29:41,722","1781","00:01,436","0,039889","39,888889","0,023933","2","41,782730","1436","1781722"
"413","12:37:39","29:43,401","1783","00:01,679","0,046639","46,638889","0,027983","2","35,735558","1679","1783401"
"414","12:37:41","29:45,367","1785","00:01,966","0,054611","54,611111","0,032767","3","30,518820","1966","1785367"
"415","12:37:42","29:46,384","1786","00:01,017","0,028250","28,250000","0,016950","1","58,997051","1017","1786384"
"416","12:37:47","29:51,932","1791","00:05,548","0,154111","154,111115","0,092467","9","10,814708","5548","1791932"
"417","12:38:11","30:15,526","1815","00:23,594","0,655389","655,388916","0,393233","39","2,543020","23594","1815526"
